Date,Close,High,Low,Open,Volume,Ticker
2015-03-09,174.01507568359375,208.7899932861328,207.5500030517578,207.7400054931641,89818900,SPY
2015-03-10,171.19219970703125,206.80999755859372,204.92999267578125,206.7100067138672,157121300,SPY
2015-03-11,170.79132080078125,205.5,204.3999938964844,205.2899932861328,110145700,SPY
2015-03-12,172.96278381347656,207.17999267578125,205.1999969482422,205.25999450683597,93993500,SPY
2015-03-13,171.90208435058594,207.92999267578125,204.5800018310547,206.7700042724609,162410900,SPY
2015-03-16,174.1988067626953,208.69000244140625,205.8600006103516,206.7100067138672,136099200,SPY
2015-03-17,173.68101501464844,208.4199981689453,206.97999572753903,207.69000244140625,94510400,SPY
2015-03-18,175.76895141601562,211.2700042724609,206.6199951171875,207.38999938964844,228808500,SPY
2015-03-19,174.9671630859375,210.47000122070312,209.02999877929688,209.9600067138672,117917300,SPY
2015-03-20,176.5115966796875,211.0200042724609,209.4900054931641,209.7100067138672,177715100,SPY
2015-03-23,176.16761779785156,211.1100006103516,210.0,210.4199981689453,71784500,SPY
2015-03-24,175.17774963378906,210.3999938964844,208.7400054931641,209.8500061035156,77805300,SPY
2015-03-25,172.6107177734375,209.3500061035156,205.7100067138672,209.07000732421875,159521700,SPY
2015-03-26,172.19964599609375,206.3699951171875,204.1199951171875,204.9600067138672,153067200,SPY
2015-03-27,172.59393310546875,205.9499969482422,204.8999938964844,205.1300048828125,118939000,SPY
2015-03-30,174.69955444335938,208.6100006103516,206.9600067138672,206.97999572753903,96180400,SPY
2015-03-31,173.1727752685547,208.1000061035156,206.3600006103516,207.25999450683597,126768700,SPY
2015-04-01,172.56036376953125,206.4199981689453,204.50999450683597,206.38999938964844,137303600,SPY
2015-04-02,173.18118286132812,206.97999572753903,205.3999938964844,205.6199951171875,86900900,SPY
2015-04-06,174.34725952148438,208.4499969482422,205.2100067138672,205.3699951171875,114368200,SPY
2015-04-07,173.8858642578125,208.75999450683597,207.2400054931641,207.8600006103516,81236300,SPY
2015-04-08,174.47308349609375,208.50999450683597,207.0800018310547,207.5500030517578,89351900,SPY
2015-04-09,175.2448272705078,209.17999267578125,207.19000244140625,207.77999877929688,85548900,SPY
2015-04-10,176.20114135742188,210.08999633789065,208.9600067138672,209.1999969482422,72722900,SPY
2015-04-13,175.4042205810547,210.6300048828125,209.02999877929688,209.8699951171875,74436600,SPY
2015-04-14,175.73977661132812,209.7100067138672,208.1000061035156,208.8500061035156,75099900,SPY
2015-04-15,176.52838134765625,211.0399932861328,209.9499969482422,210.0500030517578,99529300,SPY
2015-04-16,176.4779815673828,210.97999572753903,209.7899932861328,210.02999877929688,68934900,SPY
2015-04-17,174.44790649414062,209.22999572753903,207.00999450683597,208.94000244140625,191113200,SPY
2015-04-20,176.04183959960938,210.25,208.9600067138672,209.05999755859372,92189500,SPY
2015-04-21,175.83206176757812,210.8600006103516,209.2400054931641,210.6699981689453,72559800,SPY
2015-04-22,176.69610595703125,210.8500061035156,208.8999938964844,210.00999450683597,78264600,SPY
2015-04-23,177.1407012939453,211.94000244140625,210.00999450683597,210.1499938964844,102585900,SPY
2015-04-24,177.55177307128906,211.97000122070312,211.1100006103516,211.66000366210935,61327400,SPY
2015-04-27,176.8135528564453,212.47999572753903,210.5399932861328,212.3300018310547,79358100,SPY
2015-04-28,177.37562561035156,211.5,209.3300018310547,210.7400054931641,86863500,SPY
2015-04-29,176.64578247070312,211.2899932861328,209.6000061035156,210.3699951171875,125684900,SPY
2015-04-30,174.87574768066406,210.3500061035156,207.6199951171875,209.8800048828125,161304900,SPY
2015-05-01,176.77166748046875,210.7700042724609,209.27999877929688,209.3999938964844,103399700,SPY
2015-05-04,177.2749481201172,212.0200042724609,211.1000061035156,211.22999572753903,70927200,SPY
2015-05-05,175.2448272705078,211.4600067138672,208.72999572753903,211.02999877929688,113326200,SPY
2015-05-06,174.5233917236328,209.92999267578125,206.75999450683597,209.55999755859372,135060200,SPY
2015-05-07,175.2196807861328,209.3800048828125,207.5200042724609,207.9199981689453,88244900,SPY
2015-05-08,177.52662658691406,211.8600006103516,210.77999877929688,210.8800048828125,155877300,SPY
2015-05-11,176.6793670654297,211.88999938964844,210.5200042724609,211.57000732421875,75708100,SPY
2015-05-12,176.15084838867188,210.6300048828125,208.6199951171875,209.6100006103516,119727600,SPY
2015-05-13,176.1844482421875,211.22000122070312,209.7400054931641,210.47000122070312,94667900,SPY
2015-05-14,178.0215606689453,212.32000732421875,210.91000366210935,211.2400054931641,95934000,SPY
2015-05-15,178.21450805664062,212.6100006103516,211.8600006103516,212.44000244140625,76510100,SPY
2015-05-18,178.76820373535156,213.3999938964844,212.16000366210935,212.2400054931641,74549700,SPY
